prompt_family,decision,grouping,level,num_trajectories,original_accuracy,flipped_accuracy,accuracy_change,original_seed_pooled_accuracy,flipped_seed_pooled_accuracy,seed_pooled_accuracy_change,original_first_label_rate,flipped_first_label_rate,prediction_changed_count,improved_count,worsened_count,mean_score_delta_flip_minus_original
color,20pct,layout,L3,12,0.3333333333333333,0.3333333333333333,0.0,0.27499999999999997,0.39999999999999997,0.125,0.16666666666666666,0.16666666666666666,4,2,2,0.002145183544295527
color,20pct,target_color,blue,12,0.08333333333333333,0.0,-0.08333333333333333,0.10833333333333334,0.05833333333333333,-0.05000000000000001,0.08333333333333333,0.0,1,0,1,-0.0020694466183582977
color,20pct,target_color,red,12,0.6666666666666666,0.6666666666666666,0.0,0.6166666666666667,0.6833333333333332,0.06666666666666667,0.3333333333333333,0.3333333333333333,8,4,4,0.013667553220875562
color,20pct,target_side,left,12,0.16666666666666666,0.5,0.3333333333333333,0.2166666666666667,0.5,0.28333333333333327,0.3333333333333333,0.0,4,4,0,0.0048589285804579605
color,20pct,target_side,right,12,0.5833333333333334,0.16666666666666666,-0.4166666666666667,0.5083333333333333,0.2416666666666666,-0.26666666666666666,0.08333333333333333,0.3333333333333333,5,0,5,0.006739178022059301
color,20pct,blue_side,left,12,0.5,0.16666666666666666,-0.3333333333333333,0.39999999999999997,0.3,-0.10000000000000002,0.0,0.3333333333333333,4,0,4,-0.029814763315953313
color,20pct,blue_side,right,12,0.25,0.5,0.25,0.32499999999999996,0.44166666666666665,0.11666666666666665,0.4166666666666667,0.0,5,4,1,0.04141286991847058
color,20pct,trajectory_condition,C0,8,0.5,0.5,0.0,0.4625,0.4375,-0.025000000000000022,0.25,0.0,2,1,1,0.016817618797067543
color,20pct,trajectory_condition,C1,8,0.375,0.25,-0.125,0.36250000000000004,0.2875,-0.07500000000000001,0.125,0.25,3,1,2,-0.016509338328614835
color,20pct,trajectory_condition,C2,8,0.25,0.25,0.0,0.26249999999999996,0.3875,0.12500000000000003,0.25,0.25,4,2,2,0.01708887943532318
color,20pct,layout_x_target_side,L1/left,6,0.16666666666666666,0.5,0.3333333333333333,0.21666666666666667,0.45,0.23333333333333336,0.3333333333333333,0.0,2,2,0,0.007222777990003426
color,20pct,layout_x_target_side,L1/right,6,0.6666666666666666,0.16666666666666666,-0.5,0.6833333333333332,0.2333333333333333,-0.44999999999999996,0.16666666666666666,0.3333333333333333,3,0,3,0.011683068126440046
color,20pct,layout_x_target_side,L3/left,6,0.16666666666666666,0.5,0.3333333333333333,0.21666666666666667,0.5499999999999999,0.3333333333333333,0.3333333333333333,0.0,2,2,0,0.0024950791709124945
color,20pct,layout_x_target_side,L3/right,6,0.5,0.16666666666666666,-0.3333333333333333,0.3333333333333333,0.25,-0.08333333333333333,0.0,0.3333333333333333,2,0,2,0.0017952879176785588
color,20pct,condition_x_target_side,C0/left,4,0.25,0.5,0.25,0.275,0.45,0.175,0.25,0.0,1,1,0,0.0019599818624555995
color,20pct,condition_x_target_side,C0/right,4,0.75,0.5,-0.25,0.65,0.425,-0.22500000000000003,0.25,0.0,1,0,1,0.031675255731679494
color,20pct,condition_x_target_side,C1/left,4,0.25,0.5,0.25,0.275,0.5,0.22499999999999998,0.25,0.0,1,1,0,-0.025217444747686387
color,20pct,condition_x_target_side,C1/right,4,0.5,0.0,-0.5,0.45,0.075,-0.375,0.0,0.5,2,0,2,-0.007801231909543278
color,20pct,condition_x_target_side,C2/left,4,0.0,0.5,0.5,0.1,0.55,0.45,0.5,0.0,2,2,0,0.03783424862660467
color,20pct,condition_x_target_side,C2/right,4,0.5,0.0,-0.5,0.425,0.225,-0.19999999999999998,0.0,0.5,2,0,2,-0.003656489755958314
color,20pct,target_color_x_target_side,blue/left,6,0.0,0.0,0.0,0.0,0.11666666666666665,0.11666666666666665,0.0,0.0,0,0,0,-0.038623387956370915
color,20pct,target_color_x_target_side,blue/right,6,0.16666666666666666,0.0,-0.16666666666666666,0.21666666666666667,0.0,-0.21666666666666667,0.16666666666666666,0.0,1,0,1,0.03448449471965432
color,20pct,target_color_x_target_side,red/left,6,0.3333333333333333,1.0,0.6666666666666666,0.4333333333333334,0.8833333333333333,0.45,0.6666666666666666,0.0,4,4,0,0.04834124511728683
color,20pct,target_color_x_target_side,red/right,6,1.0,0.3333333333333333,-0.6666666666666666,0.7999999999999999,0.4833333333333332,-0.31666666666666665,0.0,0.6666666666666666,4,0,4,-0.021006138675535718
color,30pct,overall,all,24,0.2916666666666667,0.3333333333333333,0.041666666666666664,0.2916666666666667,0.3541666666666667,0.06249999999999998,0.20833333333333334,0.16666666666666666,7,4,3,0.0090459985875835
color,30pct,layout,L1,12,0.3333333333333333,0.16666666666666666,-0.16666666666666666,0.3166666666666667,0.25,-0.06666666666666667,0.16666666666666666,0.3333333333333333,4,1,3,0.0013898154844840381
color,30pct,layout,L3,12,0.25,0.5,0.25,0.26666666666666666,0.4583333333333333,0.19166666666666665,0.25,0.0,3,3,0,0.016702181690682966
color,30pct,target_color,blue,12,0.0,0.0,0.0,0.03333333333333333,0.016666666666666666,-0.016666666666666666,0.0,0.0,0,0,0,-0.006511266316908099
color,30pct,target_color,red,12,0.5833333333333334,0.6666666666666666,0.08333333333333333,0.55,0.6916666666666668,0.14166666666666664,0.4166666666666667,0.3333333333333333,7,4,3,0.024603263492075103
color,30pct,target_side,left,12,0.08333333333333333,0.3333333333333333,0.25,0.15833333333333333,0.375,0.21666666666666665,0.4166666666666667,0.16666666666666666,5,4,1,0.0197800922106641
color,30pct,target_side,right,12,0.5,0.3333333333333333,-0.16666666666666666,0.42500000000000004,0.3333333333333333,-0.09166666666666666,0.0,0.16666666666666666,2,0,2,-0.001688095035497096
color,30pct,blue_side,left,12,0.5,0.3333333333333333,-0.16666666666666666,0.39166666666666666,0.31666666666666665,-0.075,0.0,0.16666666666666666,2,0,2,-0.001135693674441431
color,30pct,blue_side,right,12,0.08333333333333333,0.3333333333333333,0.25,0.19166666666666668,0.39166666666666666,0.19999999999999998,0.4166666666666667,0.16666666666666666,5,4,1,0.019227690849608434
color,30pct,trajectory_condition,C0,8,0.375,0.375,0.0,0.36250000000000004,0.4625,0.1,0.125,0.125,2,1,1,0.01793118838919326
color,30pct,trajectory_condition,C1,8,0.25,0.25,0.0,0.2625,0.25,-0.012499999999999997,0.25,0.25,2,1,1,-0.013310838376637546
color,30pct,trajectory_condition,C2,8,0.25,0.375,0.125,0.25,0.35,0.09999999999999999,0.25,0.125,3,2,1,0.022517645750194784
color,30pct,layout_x_target_side,L1/left,6,0.16666666666666666,0.16666666666666666,0.0,0.15,0.25,0.09999999999999999,0.3333333333333333,0.3333333333333333,2,1,1,0.005434106849133968
color,30pct,layout_x_target_side,L1/right,6,0.5,0.16666666666666666,-0.3333333333333333,0.48333333333333334,0.25,-0.2333333333333333,0.0,0.3333333333333333,2,0,2,-0.0026544758801658936
color,30pct,layout_x_target_side,L3/left,6,0.0,0.5,0.5,0.16666666666666666,0.5,0.3333333333333333,0.5,0.0,3,3,0,0.034126077572194234
color,30pct,layout_x_target_side,L3/right,6,0.5,0.5,0.0,0.3666666666666667,0.4166666666666667,0.04999999999999999,0.0,0.0,0,0,0,-0.0007217141908282994
color,30pct,condition_x_target_side,C0/left,4,0.25,0.25,0.0,0.225,0.375,0.15,0.25,0.25,2,1,1,-0.0018724821042269482
color,30pct,condition_x_target_side,C0/right,4,0.5,0.5,0.0,0.5,0.55,0.05,0.0,0.0,0,0,0,0.03773485888261348
color,30pct,condition_x_target_side,C1/left,4,0.0,0.25,0.25,0.15,0.275,0.125,0.5,0.25,1,1,0,-0.008918639635667205
color,30pct,condition_x_target_side,C1/right,4,0.5,0.25,-0.25,0.375,0.225,-0.15,0.0,0.25,1,0,1,-0.017703037117607894
color,30pct,condition_x_target_side,C2/left,4,0.0,0.5,0.5,0.1,0.475,0.375,0.5,0.0,2,2,0,0.07013139837188645
color,30pct,condition_x_target_side,C2/right,4,0.5,0.25,-0.25,0.4,0.22499999999999998,-0.17500000000000002,0.0,0.25,1,0,1,-0.025096106871496875
color,30pct,target_color_x_target_side,blue/left,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,-0.005958864955852433
color,30pct,target_color_x_target_side,blue/right,6,0.0,0.0,0.0,0.06666666666666667,0.03333333333333333,-0.03333333333333333,0.0,0.0,0,0,0,-0.007063667677963767
color,30pct,target_color_x_target_side,red/left,6,0.16666666666666666,0.6666666666666666,0.5,0.31666666666666665,0.75,0.43333333333333335,0.8333333333333334,0.3333333333333333,5,4,1,0.04551904937718063
color,30pct,target_color_x_target_side,red/right,6,1.0,0.6666666666666666,-0.3333333333333333,0.7833333333333333,0.6333333333333333,-0.15000000000000002,0.0,0.3333333333333333,2,0,2,0.003687477606969572
color,40pct,overall,all,24,0.2916666666666667,0.4166666666666667,0.125,0.26249999999999996,0.3916666666666666,0.12916666666666668,0.20833333333333334,0.25,9,6,3,0.0125437499412025
color,40pct,layout,L1,12,0.25,0.16666666666666666,-0.08333333333333333,0.2416666666666667,0.19999999999999998,-0.041666666666666664,0.25,0.3333333333333333,5,2,3,-0.0031594898924231576
color,40pct,layout,L3,12,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.2833333333333333,0.5833333333333334,0.30000000000000004,0.16666666666666666,0.16666666666666666,4,4,0,0.028246989774828157
color,40pct,target_color,blue,12,0.0,0.16666666666666666,0.16666666666666666,0.0,0.15,0.15,0.0,0.16666666666666666,2,2,0,-0.016267914765824874
color,40pct,target_color,red,12,0.5833333333333334,0.6666666666666666,0.08333333333333333,0.525,0.6333333333333334,0.10833333333333334,0.4166666666666667,0.3333333333333333,7,4,3,0.04135541464822987
color,40pct,target_side,left,12,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.13333333333333333,0.3083333333333333,0.17500000000000002,0.3333333333333333,0.16666666666666666,4,3,1,0.03656956750278671
color,40pct,target_side,right,12,0.4166666666666667,0.5,0.08333333333333333,0.39166666666666666,0.47500000000000003,0.08333333333333333,0.08333333333333333,0.3333333333333333,5,3,2,-0.011482067620381712
color,40pct,blue_side,left,12,0.4166666666666667,0.3333333333333333,-0.08333333333333333,0.39166666666666666,0.325,-0.06666666666666667,0.08333333333333333,0.16666666666666666,3,1,2,0.021333622625097626
color,40pct,blue_side,right,12,0.16666666666666666,0.5,0.3333333333333333,0.13333333333333333,0.4583333333333333,0.325,0.3333333333333333,0.3333333333333333,6,5,1,0.0037538772573073678
color,40pct,trajectory_condition,C0,8,0.25,0.5,0.25,0.2625,0.5125,0.25,0.25,0.25,4,3,1,0.01774334839545189
color,40pct,trajectory_condition,C1,8,0.25,0.375,0.125,0.22499999999999998,0.3625,0.1375,0.25,0.375,3,2,1,0.0014167101867497006
color,40pct,trajectory_condition,C2,8,0.375,0.375,0.0,0.3,0.3,-1.3877787807814457e-17,0.125,0.125,2,1,1,0.018471191241405904
color,40pct,layout_x_target_side,L1/left,6,0.16666666666666666,0.16666666666666666,0.0,0.15,0.15,0.0,0.3333333333333333,0.3333333333333333,2,1,1,0.008682471662759777
color,40pct,layout_x_target_side,L1/right,6,0.3333333333333333,0.16666666666666666,-0.16666666666666666,0.3333333333333333,0.25,-0.08333333333333333,0.16666666666666666,0.3333333333333333,3,1,2,-0.015001451447606092
color,40pct,layout_x_target_side,L3/left,6,0.16666666666666666,0.5,0.3333333333333333,0.11666666666666665,0.4666666666666666,0.35000000000000003,0.3333333333333333,0.0,2,2,0,0.06445666334281365
color,40pct,layout_x_target_side,L3/right,6,0.5,0.8333333333333334,0.3333333333333333,0.45,0.7000000000000001,0.25,0.0,0.3333333333333333,2,2,0,-0.007962683793157342
color,40pct,condition_x_target_side,C0/left,4,0.25,0.25,0.0,0.225,0.275,0.05000000000000002,0.25,0.25,2,1,1,0.0005506996065378043
color,40pct,condition_x_target_side,C0/right,4,0.25,0.75,0.5,0.3,0.75,0.45,0.25,0.25,2,2,0,0.03493599718436598
color,40pct,condition_x_target_side,C1/left,4,0.0,0.25,0.25,0.025,0.275,0.25,0.5,0.25,1,1,0,0.02318040098994971
color,40pct,condition_x_target_side,C1/right,4,0.5,0.5,0.0,0.425,0.45,0.025000000000000022,0.0,0.5,2,1,1,-0.02034698061645031
color,40pct,condition_x_target_side,C2/left,4,0.25,0.5,0.25,0.15,0.375,0.225,0.25,0.0,1,1,0,0.08597760191187262
color,40pct,condition_x_target_side,C2/right,4,0.5,0.25,-0.25,0.45,0.22499999999999998,-0.22500000000000003,0.0,0.25,1,0,1,-0.04903521942906082
color,40pct,target_color_x_target_side,blue/left,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.016547775479654466
color,40pct,target_color_x_target_side,blue/right,6,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3,0.3,0.0,0.3333333333333333,2,2,0,-0.04908360501130423
color,40pct,target_color_x_target_side,red/left,6,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.26666666666666666,0.6166666666666667,0.35000000000000003,0.6666666666666666,0.3333333333333333,4,3,1,0.05659135952591896
color,40pct,target_color_x_target_side,red/right,6,0.8333333333333334,0.6666666666666666,-0.16666666666666666,0.7833333333333333,0.65,-0.13333333333333333,0.16666666666666666,0.3333333333333333,3,1,2,0.026119469770540794
color,100pct,overall,all,24,0.7083333333333334,0.7083333333333334,0.0,0.6666666666666666,0.7458333333333332,0.07916666666666666,0.2916666666666667,0.375,4,2,2,0.018998184055089948
color,100pct,layout,L1,12,0.75,0.6666666666666666,-0.08333333333333333,0.7000000000000001,0.7416666666666666,0.04166666666666666,0.4166666666666667,0.5,3,1,2,0.008614773303270337
color,100pct,layout,L3,12,0.6666666666666666,0.75,0.08333333333333333,0.6333333333333333,0.75,0.11666666666666665,0.16666666666666666,0.25,1,1,0,0.029381594806909574
color,100pct,target_color,blue,12,0.5,0.5833333333333334,0.08333333333333333,0.4583333333333333,0.6083333333333333,0.15,0.5,0.5833333333333334,3,2,1,-0.00034428816288709085
color,100pct,target_color,red,12,0.9166666666666666,0.8333333333333334,-0.08333333333333333,0.875,0.8833333333333333,0.008333333333333331,0.08333333333333333,0.16666666666666666,1,0,1,0.03834065627306699
color,100pct,target_side,left,12,0.5833333333333334,0.4166666666666667,-0.16666666666666666,0.5,0.5166666666666666,0.016666666666666663,0.25,0.25,2,0,2,0.0458477205907305
color,100pct,target_side,right,12,0.8333333333333334,1.0,0.16666666666666666,0.8333333333333334,0.975,0.14166666666666666,0.3333333333333333,0.5,2,2,0,-0.007851352480550605
color,100pct,blue_side,left,12,0.6666666666666666,0.5833333333333334,-0.08333333333333333,0.625,0.6333333333333333,0.008333333333333331,0.16666666666666666,0.08333333333333333,1,0,1,0.04110404712458452
color,100pct,blue_side,right,12,0.75,0.8333333333333334,0.08333333333333333,0.7083333333333334,0.8583333333333334,0.15,0.4166666666666667,0.6666666666666666,3,2,1,-0.0031076790144046137
color,100pct,trajectory_condition,C0,8,0.625,0.875,0.25,0.5625,0.8375,0.275,0.125,0.375,2,2,0,0.0023515754379331982
color,100pct,trajectory_condition,C1,8,0.625,0.625,0.0,0.575,0.6625,0.08750000000000001,0.375,0.375,0,0,0,0.02041296325623989
color,100pct,trajectory_condition,C2,8,0.875,0.625,-0.25,0.8625,0.7375,-0.125,0.375,0.375,2,0,2,0.03423001347109676
color,100pct,layout_x_target_side,L1/left,6,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.5666666666666667,0.5333333333333333,-0.03333333333333334,0.5,0.5,2,0,2,0.016138745471835133
color,100pct,layout_x_target_side,L1/right,6,0.8333333333333334,1.0,0.16666666666666666,0.8333333333333334,0.9500000000000001,0.11666666666666665,0.3333333333333333,0.5,1,1,0,0.0010908011347055362
color,100pct,layout_x_target_side,L3/left,6,0.5,0.5,0.0,0.43333333333333335,0.5,0.06666666666666667,0.0,0.0,0,0,0,0.07555669570962588
color,100pct,layout_x_target_side,L3/right,6,0.8333333333333334,1.0,0.16666666666666666,0.8333333333333334,1.0,0.16666666666666666,0.3333333333333333,0.5,1,1,0,-0.016793506095806748
color,100pct,condition_x_target_side,C0/left,4,0.75,0.75,0.0,0.625,0.75,0.125,0.25,0.25,0,0,0,-0.01909358613193037
color,100pct,condition_x_target_side,C0/right,4,0.5,1.0,0.5,0.5,0.925,0.425,0.0,0.5,2,2,0,0.02379673700779676
color,100pct,condition_x_target_side,C1/left,4,0.25,0.25,0.0,0.15,0.325,0.17500000000000002,0.25,0.25,0,0,0,0.04952807985246182
color,100pct,condition_x_target_side,C1/right,4,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0,0,0,-0.008702153339982036
color,100pct,condition_x_target_side,C2/left,4,0.75,0.25,-0.5,0.725,0.475,-0.25,0.25,0.25,2,0,2,0.10710866805166007
color,100pct,condition_x_target_side,C2/right,4,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0,0,0,-0.038648641109466544
color,100pct,target_color_x_target_side,blue/left,6,0.3333333333333333,0.16666666666666666,-0.16666666666666666,0.25,0.26666666666666666,0.016666666666666663,0.3333333333333333,0.16666666666666666,1,0,1,0.04861111144224803
color,100pct,target_color_x_target_side,blue/right,6,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.9500000000000001,0.2833333333333333,0.6666666666666666,1.0,2,2,0,-0.04929968776802221
color,100pct,target_color_x_target_side,red/left,6,0.8333333333333334,0.6666666666666666,-0.16666666666666666,0.75,0.7666666666666666,0.016666666666666663,0.16666666666666666,0.3333333333333333,1,0,1,0.04308432973921298
color,100pct,target_color_x_target_side,red/right,6,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.033596982806921
color,flat,overall,all,24,0.7083333333333334,0.7083333333333334,0.0,0.6666666666666666,0.7458333333333332,0.07916666666666666,0.2916666666666667,0.375,4,2,2,0.0019485197475835401
color,flat,layout,L1,12,0.75,0.6666666666666666,-0.08333333333333333,0.7000000000000001,0.7416666666666666,0.04166666666666666,0.4166666666666667,0.5,3,1,2,0.0009781799744814628
color,flat,layout,L3,12,0.6666666666666666,0.75,0.08333333333333333,0.6333333333333333,0.75,0.11666666666666665,0.16666666666666666,0.25,1,1,0,0.0029188595206856177
color,flat,target_color,blue,12,0.5,0.5833333333333334,0.08333333333333333,0.4583333333333333,0.6083333333333333,0.15,0.5,0.5833333333333334,3,2,1,-0.0008719641986061573
color,flat,target_color,red,12,0.9166666666666666,0.8333333333333334,-0.08333333333333333,0.875,0.8833333333333333,0.008333333333333331,0.08333333333333333,0.16666666666666666,1,0,1,0.004769003693773238
color,flat,target_side,left,12,0.5833333333333334,0.4166666666666667,-0.16666666666666666,0.5,0.5166666666666666,0.016666666666666663,0.25,0.25,2,0,2,0.004578359493019955
color,flat,target_side,right,12,0.8333333333333334,1.0,0.16666666666666666,0.8333333333333334,0.975,0.14166666666666666,0.3333333333333333,0.5,2,2,0,-0.0006813199978528755
color,flat,blue_side,left,12,0.6666666666666666,0.5833333333333334,-0.08333333333333333,0.625,0.6333333333333333,0.008333333333333331,0.16666666666666666,0.08333333333333333,1,0,1,0.0046743561896599
color,flat,blue_side,right,12,0.75,0.8333333333333334,0.08333333333333333,0.7083333333333334,0.8583333333333334,0.15,0.4166666666666667,0.6666666666666666,3,2,1,-0.0007773166944928193
color,flat,trajectory_condition,C0,8,0.625,0.875,0.25,0.5625,0.8375,0.275,0.125,0.375,2,2,0,0.0002939469297416498
color,flat,trajectory_condition,C1,8,0.625,0.625,0.0,0.575,0.6625,0.08750000000000001,0.375,0.375,0,0,0,0.002261080696350998
color,flat,trajectory_condition,C2,8,0.875,0.625,-0.25,0.8625,0.7375,-0.125,0.375,0.375,2,0,2,0.0032905316166579727
color,flat,layout_x_target_side,L1/left,6,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.5666666666666667,0.5333333333333333,-0.03333333333333334,0.5,0.5,2,0,2,0.0016369667121519634
color,flat,layout_x_target_side,L1/right,6,0.8333333333333334,1.0,0.16666666666666666,0.8333333333333334,0.9500000000000001,0.11666666666666665,0.3333333333333333,0.5,1,1,0,0.0003193932368109615
color,flat,layout_x_target_side,L3/left,6,0.5,0.5,0.0,0.43333333333333335,0.5,0.06666666666666667,0.0,0.0,0,0,0,0.007519752273887948
color,flat,layout_x_target_side,L3/right,6,0.8333333333333334,1.0,0.16666666666666666,0.8333333333333334,1.0,0.16666666666666666,0.3333333333333333,0.5,1,1,0,-0.001682033232516712
color,flat,condition_x_target_side,C0/left,4,0.75,0.75,0.0,0.625,0.75,0.125,0.25,0.25,0,0,0,-0.002386698266491296
color,flat,condition_x_target_side,C0/right,4,0.5,1.0,0.5,0.5,0.925,0.425,0.0,0.5,2,2,0,0.002974592125974595
color,flat,condition_x_target_side,C1/left,4,0.25,0.25,0.0,0.15,0.325,0.17500000000000002,0.25,0.25,0,0,0,0.0056758494012885624
color,flat,condition_x_target_side,C1/right,4,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0,0,0,-0.0011536880085865667
color,flat,condition_x_target_side,C2/left,4,0.75,0.25,-0.5,0.725,0.475,-0.25,0.25,0.25,2,0,2,0.010445927344262602
color,flat,condition_x_target_side,C2/right,4,1.0,1.0,0.0,1.0,1.0,0.0,0.5,0.5,0,0,0,-0.0038648641109466546
color,flat,target_color_x_target_side,blue/left,6,0.3333333333333333,0.16666666666666666,-0.16666666666666666,0.25,0.26666666666666666,0.016666666666666663,0.3333333333333333,0.16666666666666666,1,0,1,0.004483711988906618
color,flat,target_color_x_target_side,blue/right,6,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.9500000000000001,0.2833333333333333,0.6666666666666666,1.0,2,2,0,-0.006227640386118934
color,flat,target_color_x_target_side,red/left,6,0.8333333333333334,0.6666666666666666,-0.16666666666666666,0.75,0.7666666666666666,0.016666666666666663,0.16666666666666666,0.3333333333333333,1,0,1,0.004673006997133294
color,flat,target_color_x_target_side,red/right,6,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0,0,0.004865000390413183
color,linear,overall,all,24,0.3333333333333333,0.5,0.16666666666666666,0.4000000000000001,0.5458333333333334,0.14583333333333334,0.25,0.25,8,6,2,0.0024606455962082707
color,linear,layout,L1,12,0.25,0.3333333333333333,0.08333333333333333,0.35833333333333334,0.4416666666666667,0.08333333333333333,0.25,0.3333333333333333,3,2,1,0.0007883720881045377
color,linear,layout,L3,12,0.4166666666666667,0.6666666666666666,0.25,0.4416666666666667,0.65,0.2083333333333333,0.25,0.16666666666666666,5,4,1,0.004132919104312003
