episode_id,layout_id,trajectory_condition,target_color,target_side_base,blue_block_side_base,red_block_side_base,prompt_family,decision,target_label,original_score,flipped_score,score_delta_flip_minus_original,original_prediction,flipped_prediction,prediction_changed,original_correct,flipped_correct,accuracy_change,original_seed_correct_rate,flipped_seed_correct_rate,seed_accuracy_change
2026_08_18_00_41_27_880068_L1_left_C2,L1,C2,blue,left,left,right,color,exponential,blue,0.010664892693765445,0.01133132287975628,0.0006664301859908347,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_45_28_073578_L1_right_C0,L1,C0,red,right,left,right,color,10pct,red,0.006276807524263859,0.0229085922986269,0.016631784774363043,red,red,0,1,1,0,0.8,1.0,0.19999999999999996
2026_08_18_00_45_28_073578_L1_right_C0,L1,C0,red,right,left,right,color,20pct,red,0.00874323472380638,0.06415133848786354,0.055408103764057165,red,red,0,1,1,0,0.8,1.0,0.19999999999999996
2026_08_18_00_45_28_073578_L1_right_C0,L1,C0,red,right,left,right,color,30pct,red,0.004934980422258378,0.10793445251882075,0.10299947209656238,red,red,0,1,1,0,0.7,1.0,0.30000000000000004
2026_08_18_00_45_28_073578_L1_right_C0,L1,C0,red,right,left,right,color,40pct,red,-0.011275351941585547,0.12448836356401444,0.13576371550559999,blue,red,1,0,1,1,0.2,1.0,0.8
2026_08_18_00_45_28_073578_L1_right_C0,L1,C0,red,right,left,right,color,100pct,red,0.07714910954236984,0.260083881765604,0.18293477222323415,red,red,0,1,1,0,1.0,1.0,0.0
2026_08_18_00_45_28_073578_L1_right_C0,L1,C0,red,right,left,right,color,flat,red,0.00964363869279623,0.0325104852207005,0.02286684652790427,red,red,0,1,1,0,1.0,1.0,0.0
2026_08_18_00_45_28_073578_L1_right_C0,L1,C0,red,right,left,right,color,linear,red,-9.202369385295417e-05,0.032100517426927884,0.032192541120780835,blue,red,1,0,1,1,0.5,1.0,0.5
2026_08_18_00_45_28_073578_L1_right_C0,L1,C0,red,right,left,right,color,exponential,red,0.00012787788769808074,0.03507422437700702,0.03494634648930894,red,red,0,1,1,0,0.5,1.0,0.5
2026_08_18_00_45_56_961481_L1_right_C1,L1,C1,red,right,left,right,color,10pct,red,0.01584737777709961,-0.038081895112991336,-0.053929272890090946,red,blue,1,1,0,-1,0.8,0.0,-0.8
2026_08_18_00_45_56_961481_L1_right_C1,L1,C1,red,right,left,right,color,20pct,red,0.03487093448638916,-0.04070768982172012,-0.07557862430810927,red,blue,1,1,0,-1,1.0,0.0,-1.0
2026_08_18_00_45_56_961481_L1_right_C1,L1,C1,red,right,left,right,color,30pct,red,0.039887041449546815,-0.042908684313297266,-0.08279572576284408,red,blue,1,1,0,-1,1.0,0.0,-1.0
2026_08_18_00_45_56_961481_L1_right_C1,L1,C1,red,right,left,right,color,40pct,red,0.032308453023433686,-0.04864877223968505,-0.08095722526311874,red,blue,1,1,0,-1,1.0,0.0,-1.0
2026_08_18_00_45_56_961481_L1_right_C1,L1,C1,red,right,left,right,color,100pct,red,0.24649782627820968,0.17810697108507156,-0.06839085519313812,red,red,0,1,1,0,1.0,1.0,0.0
2026_08_18_00_45_56_961481_L1_right_C1,L1,C1,red,right,left,right,color,flat,red,0.03081222828477621,0.022263371385633945,-0.008548856899142265,red,red,0,1,1,0,1.0,1.0,0.0
2026_08_18_00_45_56_961481_L1_right_C1,L1,C1,red,right,left,right,color,linear,red,0.019469315641456177,0.008183847119410835,-0.011285468522045343,red,red,0,1,1,0,1.0,0.8,-0.19999999999999996
2026_08_18_00_45_56_961481_L1_right_C1,L1,C1,red,right,left,right,color,exponential,red,0.018119000094432437,-0.003061582013110614,-0.02118058210754305,red,blue,1,1,0,-1,1.0,0.5,-0.5
2026_08_18_00_46_25_193744_L1_right_C2,L1,C2,red,right,left,right,color,10pct,red,0.03322617396712303,-0.014344005212187767,-0.0475701791793108,red,blue,1,1,0,-1,0.8,0.2,-0.6000000000000001
2026_08_18_00_46_25_193744_L1_right_C2,L1,C2,red,right,left,right,color,20pct,red,0.045795835852622986,-0.0047468152642250044,-0.05054265111684799,red,blue,1,1,0,-1,1.0,0.4,-0.6
2026_08_18_00_46_25_193744_L1_right_C2,L1,C2,red,right,left,right,color,30pct,red,0.034997297637164596,-0.023758106566965573,-0.05875540420413017,red,blue,1,1,0,-1,0.8,0.3,-0.5
2026_08_18_00_46_25_193744_L1_right_C2,L1,C2,red,right,left,right,color,40pct,red,0.025252576470375057,-0.032412376999855046,-0.0576649534702301,red,blue,1,1,0,-1,0.8,0.2,-0.6000000000000001
2026_08_18_00_46_25_193744_L1_right_C2,L1,C2,red,right,left,right,color,100pct,red,0.12298564165830612,0.060053677856922144,-0.06293196380138398,red,red,0,1,1,0,1.0,1.0,0.0
2026_08_18_00_46_25_193744_L1_right_C2,L1,C2,red,right,left,right,color,flat,red,0.012298564165830613,0.006005367785692215,-0.006293196380138398,red,red,0,1,1,0,1.0,1.0,0.0
2026_08_18_00_46_25_193744_L1_right_C2,L1,C2,red,right,left,right,color,linear,red,0.008027918989008124,-0.0009269588914784529,-0.008954877880486576,red,blue,1,1,0,-1,0.9,0.3,-0.6000000000000001
2026_08_18_00_46_25_193744_L1_right_C2,L1,C2,red,right,left,right,color,exponential,red,0.010770818837059914,-0.00315569198863967,-0.013926510825699585,red,blue,1,1,0,-1,0.9,0.3,-0.6000000000000001
2026_08_18_00_48_13_457980_L1_left_C0,L1,C0,red,left,right,left,color,10pct,red,-0.0024435301125049595,0.03634883113205433,0.03879236124455929,blue,red,1,0,1,1,0.6,0.9,0.30000000000000004
2026_08_18_00_48_13_457980_L1_left_C0,L1,C0,red,left,right,left,color,20pct,red,0.01874994494020939,0.030263018161058423,0.011513073220849032,red,red,0,1,1,0,0.8,0.8,0.0
2026_08_18_00_48_13_457980_L1_left_C0,L1,C0,red,left,right,left,color,30pct,red,0.04561840273439884,-0.00048484265804290584,-0.04610324539244175,red,blue,1,1,0,-1,0.8,0.5,-0.30000000000000004
2026_08_18_00_48_13_457980_L1_left_C0,L1,C0,red,left,right,left,color,40pct,red,0.04492446303367615,-0.027240537405014045,-0.0721650004386902,red,blue,1,1,0,-1,0.8,0.3,-0.5
2026_08_18_00_48_13_457980_L1_left_C0,L1,C0,red,left,right,left,color,100pct,red,0.17632185816764834,0.18887799009680747,0.012556131929159137,red,red,0,1,1,0,1.0,1.0,0.0
2026_08_18_00_48_13_457980_L1_left_C0,L1,C0,red,left,right,left,color,flat,red,0.022040232270956042,0.023609748762100934,0.001569516491144892,red,red,0,1,1,0,1.0,1.0,0.0
2026_08_18_00_48_13_457980_L1_left_C0,L1,C0,red,left,right,left,color,linear,red,0.02100457756055726,0.017989908220867316,-0.003014669339689944,red,red,0,1,1,0,1.0,1.0,0.0
2026_08_18_00_48_13_457980_L1_left_C0,L1,C0,red,left,right,left,color,exponential,red,0.018289948717099262,0.015543078238543173,-0.002746870478556089,red,red,0,1,1,0,1.0,0.9,-0.09999999999999998
2026_08_18_00_49_05_482404_L1_left_C1,L1,C1,red,left,right,left,color,10pct,red,-0.01182523250579834,0.03798558473587036,0.0498108172416687,blue,red,1,0,1,1,0.2,1.0,0.8
2026_08_18_00_49_05_482404_L1_left_C1,L1,C1,red,left,right,left,color,20pct,red,-0.012081981301307679,0.004318290948867785,0.016400272250175464,blue,red,1,0,1,1,0.3,0.5,0.2
2026_08_18_00_49_05_482404_L1_left_C1,L1,C1,red,left,right,left,color,30pct,red,-0.03736474990844726,-0.032856470346450804,0.004508279561996453,blue,blue,0,0,0,0,0.1,0.1,0.0
2026_08_18_00_49_05_482404_L1_left_C1,L1,C1,red,left,right,left,color,40pct,red,-0.08858670890331269,-0.042245931327342987,0.0463407775759697,blue,blue,0,0,0,0,0.0,0.1,0.1
2026_08_18_00_49_05_482404_L1_left_C1,L1,C1,red,left,right,left,color,100pct,red,-0.14714392125606537,-0.07508805692195893,0.07205586433410645,blue,blue,0,0,0,0,0.0,0.1,0.1
2026_08_18_00_49_05_482404_L1_left_C1,L1,C1,red,left,right,left,color,flat,red,-0.018392990157008172,-0.009386007115244866,0.009006983041763306,blue,blue,0,0,0,0,0.0,0.1,0.1
2026_08_18_00_49_05_482404_L1_left_C1,L1,C1,red,left,right,left,color,linear,red,-0.025560482881135414,-0.010353846351305644,0.01520663652982977,blue,blue,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_49_05_482404_L1_left_C1,L1,C1,red,left,right,left,color,exponential,red,-0.022818914332244193,-0.005495280223195078,0.017323634109049114,blue,blue,0,0,0,0,0.1,0.3,0.19999999999999998
2026_08_18_00_49_36_378126_L1_left_C2,L1,C2,red,left,right,left,color,10pct,red,0.0002299795299768448,0.06543150376528502,0.06520152423530817,red,red,0,1,1,0,0.5,1.0,0.5
2026_08_18_00_49_36_378126_L1_left_C2,L1,C2,red,left,right,left,color,20pct,red,-0.022079293504357344,0.05101149171590805,0.0730907852202654,blue,red,1,0,1,1,0.2,1.0,0.8
2026_08_18_00_49_36_378126_L1_left_C2,L1,C2,red,left,right,left,color,30pct,red,-0.05002286504954099,0.026041817180812363,0.07606468223035336,blue,red,1,0,1,1,0.0,0.9,0.9
2026_08_18_00_49_36_378126_L1_left_C2,L1,C2,red,left,right,left,color,40pct,red,-0.03819287925958633,0.013310454487800593,0.05150333374738692,blue,red,1,0,1,1,0.1,0.5,0.4
2026_08_18_00_49_36_378126_L1_left_C2,L1,C2,red,left,right,left,color,100pct,red,0.039262416958808895,-0.007293438911437994,-0.04655585587024689,red,blue,1,1,0,-1,0.9,0.5,-0.4
2026_08_18_00_49_36_378126_L1_left_C2,L1,C2,red,left,right,left,color,flat,red,0.00392624169588089,-0.0007293438911437994,-0.0046555855870246896,red,blue,1,1,0,-1,0.9,0.5,-0.4
2026_08_18_00_49_36_378126_L1_left_C2,L1,C2,red,left,right,left,color,linear,red,-0.003238180713220076,-7.926499301737158e-05,0.0031589157202027043,blue,blue,0,0,0,0,0.1,0.5,0.4
2026_08_18_00_49_36_378126_L1_left_C2,L1,C2,red,left,right,left,color,exponential,red,-0.0051890025933946414,0.0069940836922746715,0.012183086285669314,blue,red,1,0,1,1,0.1,0.8,0.7000000000000001
2026_08_18_00_50_22_202653_L1_right_C0,L1,C0,blue,right,right,left,color,10pct,blue,-0.026039567142724998,0.061337030008435246,0.08737659715116025,blue,red,1,1,0,-1,1.0,0.0,-1.0
2026_08_18_00_50_22_202653_L1_right_C0,L1,C0,blue,right,right,left,color,20pct,blue,-0.023939331173896787,0.06470208518207073,0.0886414163559675,blue,red,1,1,0,-1,1.0,0.0,-1.0
2026_08_18_00_50_22_202653_L1_right_C0,L1,C0,blue,right,right,left,color,30pct,blue,0.004044029191136353,0.03916433624923229,0.035120307058095934,red,red,0,0,0,0,0.4,0.2,-0.2
2026_08_18_00_50_22_202653_L1_right_C0,L1,C0,blue,right,right,left,color,40pct,blue,0.05932806342840196,0.03413220226764678,-0.02519586116075518,red,red,0,0,0,0,0.0,0.3,0.3
2026_08_18_00_50_22_202653_L1_right_C0,L1,C0,blue,right,right,left,color,100pct,blue,0.06916215270757675,-0.009504230320453645,-0.07866638302803039,red,blue,1,0,1,1,0.0,0.7,0.7
2026_08_18_00_50_22_202653_L1_right_C0,L1,C0,blue,right,right,left,color,flat,blue,0.008645269088447094,-0.0011880287900567056,-0.009833297878503799,red,blue,1,0,1,1,0.0,0.7,0.7
2026_08_18_00_50_22_202653_L1_right_C0,L1,C0,blue,right,right,left,color,linear,blue,0.01613185790677865,0.008928349283006455,-0.007203508623772196,red,red,0,0,0,0,0.0,0.2,0.2
2026_08_18_00_50_22_202653_L1_right_C0,L1,C0,blue,right,right,left,color,exponential,blue,0.01143101031163835,0.017481499776049975,0.006050489464411625,red,red,0,0,0,0,0.0,0.1,0.1
2026_08_18_00_50_52_802516_L1_right_C1,L1,C1,blue,right,right,left,color,10pct,blue,-0.01445608377456665,0.0519385552406311,0.06639463901519775,blue,red,1,1,0,-1,0.9,0.0,-0.9
2026_08_18_00_50_52_802516_L1_right_C1,L1,C1,blue,right,right,left,color,20pct,blue,0.01207339972257615,0.05536968678236007,0.04329628705978392,red,red,0,0,0,0,0.3,0.0,-0.3
2026_08_18_00_50_52_802516_L1_right_C1,L1,C1,blue,right,right,left,color,30pct,blue,0.04406115382909775,0.05715994924306869,0.013098795413970944,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_50_52_802516_L1_right_C1,L1,C1,blue,right,right,left,color,40pct,blue,0.06705686300992966,0.0626374927163124,-0.004419370293617261,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_50_52_802516_L1_right_C1,L1,C1,blue,right,right,left,color,100pct,blue,-0.08459112644195556,-0.0699935108423233,0.014597615599632255,blue,blue,0,1,1,0,1.0,1.0,0.0
2026_08_18_00_50_52_802516_L1_right_C1,L1,C1,blue,right,right,left,color,flat,blue,-0.010573890805244445,-0.008749188855290413,0.0018247019499540319,blue,blue,0,1,1,0,1.0,1.0,0.0
2026_08_18_00_50_52_802516_L1_right_C1,L1,C1,blue,right,right,left,color,linear,blue,0.002462343747417132,0.001325101984871757,-0.0011372417625453751,red,red,0,0,0,0,0.3,0.5,0.2
2026_08_18_00_50_52_802516_L1_right_C1,L1,C1,blue,right,right,left,color,exponential,blue,0.005211435588400089,0.011789462735060846,0.0065780271466607575,red,red,0,0,0,0,0.3,0.0,-0.3
2026_08_18_00_51_25_610649_L1_right_C2,L1,C2,blue,right,right,left,color,10pct,blue,0.04205635987222195,0.034709680974483494,-0.007346678897738455,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_51_25_610649_L1_right_C2,L1,C2,blue,right,right,left,color,20pct,blue,0.04643656127154827,0.05531043827533723,0.008873877003788957,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_51_25_610649_L1_right_C2,L1,C2,blue,right,right,left,color,30pct,blue,0.06538650993257761,0.03979221004992724,-0.02559429988265037,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_51_25_610649_L1_right_C2,L1,C2,blue,right,right,left,color,40pct,blue,0.07614466086030007,0.018609646856784814,-0.05753501400351525,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_51_25_610649_L1_right_C2,L1,C2,blue,right,right,left,color,100pct,blue,-0.1482104793190956,-0.1292088583111763,0.0190016210079193,blue,blue,0,1,1,0,1.0,1.0,0.0
2026_08_18_00_51_25_610649_L1_right_C2,L1,C2,blue,right,right,left,color,flat,blue,-0.014821047931909559,-0.01292088583111763,0.001900162100791929,blue,blue,0,1,1,0,1.0,1.0,0.0
2026_08_18_00_51_25_610649_L1_right_C2,L1,C2,blue,right,right,left,color,linear,blue,0.0029272541945630838,-0.0032505475391041132,-0.0061778017336671966,red,blue,1,0,1,1,0.3,0.9,0.6000000000000001
2026_08_18_00_51_25_610649_L1_right_C2,L1,C2,blue,right,right,left,color,exponential,blue,0.010706916650694035,0.003712347424217315,-0.00699456922647672,red,red,0,0,0,0,0.0,0.1,0.1
2026_08_18_00_52_54_907596_L3_right_C0,L3,C0,blue,right,right,left,color,10pct,blue,0.04206297190859914,0.03363803864456713,-0.008424933264032007,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_52_54_907596_L3_right_C0,L3,C0,blue,right,right,left,color,20pct,blue,0.06543015046045184,0.04519930750131607,-0.020230842959135763,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_52_54_907596_L3_right_C0,L3,C0,blue,right,right,left,color,30pct,blue,0.07956356758251786,0.028643484599888334,-0.050920082982629525,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_52_54_907596_L3_right_C0,L3,C0,blue,right,right,left,color,40pct,blue,0.09332526154816151,-0.019956126511096958,-0.11328138805925847,red,blue,1,0,1,1,0.0,0.7,0.7
2026_08_18_00_52_54_907596_L3_right_C0,L3,C0,blue,right,right,left,color,100pct,blue,0.08514540046453475,-0.13278302550315854,-0.2179284259676933,red,blue,1,0,1,1,0.0,1.0,1.0
2026_08_18_00_52_54_907596_L3_right_C0,L3,C0,blue,right,right,left,color,flat,blue,0.010643175058066844,-0.016597878187894818,-0.027241053245961662,red,blue,1,0,1,1,0.0,1.0,1.0
2026_08_18_00_52_54_907596_L3_right_C0,L3,C0,blue,right,right,left,color,linear,blue,0.023021808266639708,-0.011604925162262384,-0.034626733428902094,red,blue,1,0,1,1,0.0,0.9,0.9
2026_08_18_00_52_54_907596_L3_right_C0,L3,C0,blue,right,right,left,color,exponential,blue,0.028505365088965104,-0.003349620556538296,-0.0318549856455034,red,blue,1,0,1,1,0.0,0.8,0.8
2026_08_18_00_53_23_339528_L3_right_C1,L3,C1,blue,right,right,left,color,10pct,blue,0.027478794604539877,0.07590313006192445,0.048424335457384574,red,red,0,0,0,0,0.1,0.0,-0.1
2026_08_18_00_53_23_339528_L3_right_C1,L3,C1,blue,right,right,left,color,20pct,blue,0.05386888906359673,0.07801376923918724,0.024144880175590508,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_53_23_339528_L3_right_C1,L3,C1,blue,right,right,left,color,30pct,blue,0.07023256542161108,0.03975347973406316,-0.030479085687547917,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_53_23_339528_L3_right_C1,L3,C1,blue,right,right,left,color,40pct,blue,0.07094319015741349,-0.005070530921220779,-0.07601372107863427,red,blue,1,0,1,1,0.0,0.8,0.8
2026_08_18_00_53_23_339528_L3_right_C1,L3,C1,blue,right,right,left,color,100pct,blue,-0.11151437014341353,-0.17776335403323174,-0.0662489838898182,blue,blue,0,1,1,0,1.0,1.0,0.0
2026_08_18_00_53_23_339528_L3_right_C1,L3,C1,blue,right,right,left,color,flat,blue,-0.012390485571490393,-0.019751483781470194,-0.0073609982099798014,blue,blue,0,1,1,0,1.0,1.0,0.0
2026_08_18_00_53_23_339528_L3_right_C1,L3,C1,blue,right,right,left,color,linear,blue,0.000748792174789639,-0.011189025872283513,-0.011937818047073152,red,blue,1,0,1,1,0.5,1.0,0.5
2026_08_18_00_53_23_339528_L3_right_C1,L3,C1,blue,right,right,left,color,exponential,blue,0.009490255315607718,0.0016920576328446452,-0.007798197682763073,red,red,0,0,0,0,0.1,0.3,0.19999999999999998
2026_08_18_00_53_52_283658_L3_right_C2,L3,C2,blue,right,right,left,color,10pct,blue,0.014290658617392184,0.10873673362657428,0.09444607500918209,red,red,0,0,0,0,0.2,0.0,-0.2
2026_08_18_00_53_52_283658_L3_right_C2,L3,C2,blue,right,right,left,color,20pct,blue,0.05856288831681013,0.12074423899874091,0.062181350681930786,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_53_52_283658_L3_right_C2,L3,C2,blue,right,right,left,color,30pct,blue,0.06981399775482713,0.08620635776780547,0.016392360012978335,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_53_52_283658_L3_right_C2,L3,C2,blue,right,right,left,color,40pct,blue,0.058504600599408145,0.04044832512736322,-0.018056275472044928,red,red,0,0,0,0,0.0,0.0,0.0
2026_08_18_00_53_52_283658_L3_right_C2,L3,C2,blue,right,right,left,color,100pct,blue,-0.1229839473962784,-0.08953751772642135,0.033446429669857045,blue,blue,0,1,1,0,1.0,1.0,0.0
2026_08_18_00_53_52_283658_L3_right_C2,L3,C2,blue,right,right,left,color,flat,blue,-0.012298394739627839,-0.008953751772642135,0.0033446429669857034,blue,blue,0,1,1,0,1.0,1.0,0.0
2026_08_18_00_53_52_283658_L3_right_C2,L3,C2,blue,right,right,left,color,linear,blue,-0.0008923564444888719,0.002670621519738978,0.00356297796422785,blue,red,1,1,0,-1,0.6,0.0,-0.6
2026_08_18_00_53_52_283658_L3_right_C2,L3,C2,blue,right,right,left,color,exponential,blue,0.005977057112804564,0.0160529441127098,0.010075886999905234,red,red,0,0,0,0,0.2,0.0,-0.2
2026_08_18_00_54_32_747715_L3_left_C0,L3,C0,red,left,right,left,color,10pct,red,-0.0074344977736473085,0.05495724007487297,0.062391737848520284,blue,red,1,0,1,1,0.4,1.0,0.6
2026_08_18_00_54_32_747715_L3_left_C0,L3,C0,red,left,right,left,color,20pct,red,-0.01789424642920494,0.07000641897320746,0.0879006654024124,blue,red,1,0,1,1,0.3,1.0,0.7
2026_08_18_00_54_32_747715_L3_left_C0,L3,C0,red,left,right,left,color,30pct,red,-0.03240941949188709,0.0538819570094347,0.08629137650132179,blue,red,1,0,1,1,0.1,1.0,0.9
2026_08_18_00_54_32_747715_L3_left_C0,L3,C0,red,left,right,left,color,40pct,red,-0.052010190486907956,0.015318274497985833,0.06732846498489378,blue,red,1,0,1,1,0.1,0.8,0.7000000000000001
2026_08_18_00_54_32_747715_L3_left_C0,L3,C0,red,left,right,left,color,100pct,red,0.10937795192003251,0.10777372121810912,-0.0016042307019233926,red,red,0,1,1,0,1.0,1.0,0.0
2026_08_18_00_54_32_747715_L3_left_C0,L3,C0,red,left,right,left,color,flat,red,0.013672243990004064,0.01347171515226364,-0.00020052883774042407,red,red,0,1,1,0,1.0,1.0,0.0
2026_08_18_00_54_32_747715_L3_left_C0,L3,C0,red,left,right,left,color,linear,red,0.0023023390521605823,0.007634518543879191,0.005332179491718608,red,red,0,1,1,0,0.5,1.0,0.5
2026_08_18_00_54_32_747715_L3_left_C0,L3,C0,red,left,right,left,color,exponential,red,-0.003029067917533121,0.014489124600272315,0.017518192517805436,blue,red,1,0,1,1,0.4,1.0,0.6
2026_08_18_00_55_01_843645_L3_left_C1,L3,C1,red,left,right,left,color,10pct,red,0.028061447963118553,0.05124164566397667,0.023180197700858114,red,red,0,1,1,0,1.0,1.0,0.0
2026_08_18_00_55_01_843645_L3_left_C1,L3,C1,red,left,right,left,color,20pct,red,0.01916900135576725,0.038213786110281936,0.019044784754514685,red,red,0,1,1,0,0.8,1.0,0.19999999999999996
2026_08_18_00_55_01_843645_L3_left_C1,L3,C1,red,left,right,left,color,30pct,red,-0.004973468631505957,0.04655056655406951,0.05152403518557547,blue,red,1,0,1,1,0.5,1.0,0.5
2026_08_18_00_55_01_843645_L3_left_C1,L3,C1,red,left,right,left,color,40pct,red,-0.037582174390554425,0.084411338865757,0.12199351325631141,blue,red,1,0,1,1,0.1,1.0,0.9
2026_08_18_00_55_01_843645_L3_left_C1,L3,C1,red,left,right,left,color,100pct,red,0.026322444528341295,0.13180315047502517,0.10548070594668388,red,red,0,1,1,0,0.6,1.0,0.4
2026_08_18_00_55_01_843645_L3_left_C1,L3,C1,red,left,right,left,color,flat,red,0.0029247160587045884,0.014644794497225019,0.01172007843852043,red,red,0,1,1,0,0.6,1.0,0.4
2026_08_18_00_55_01_843645_L3_left_C1,L3,C1,red,left,right,left,color,linear,red,-0.007878558552927439,0.015335124267472165,0.023213682820399602,blue,red,1,0,1,1,0.2,1.0,0.8
